
I20241208 00:52:25 2111763 dinov2 train.py:276] Starting training from iteration 182610
I20241208 01:05:20 2111763 dinov2 helpers.py:102] Training  [183020/202900]  eta: 10:24:11  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6079 (12.6104)  dino_local_crops_loss: 9.7409 (9.7412)  dino_global_crops_loss: 1.2086 (1.2085)  kde_loss: -0.4980 (-0.4979)  ibot_loss: 2.1482 (2.1586)  time: 1.916185  data: 1.078276  max mem: 60051
I20241208 01:05:38 2111763 dinov2 helpers.py:102] Training  [183030/202900]  eta: 10:23:22  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6130 (12.6111)  dino_local_crops_loss: 9.7385 (9.7414)  dino_global_crops_loss: 1.2081 (1.2085)  kde_loss: -0.4980 (-0.4979)  ibot_loss: 2.1633 (2.1590)  time: 1.867108  data: 1.031580  max mem: 60051
I20241208 01:05:57 2111763 dinov2 helpers.py:102] Training  [183040/202900]  eta: 10:23:32  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6309 (12.6120)  dino_local_crops_loss: 9.7568 (9.7414)  dino_global_crops_loss: 1.2107 (1.2085)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1801 (2.1599)  time: 1.882644  data: 1.042237  max mem: 60051
I20241208 01:06:15 2111763 dinov2 helpers.py:102] Training  [183050/202900]  eta: 10:22:41  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5635 (12.6103)  dino_local_crops_loss: 9.7124 (9.7403)  dino_global_crops_loss: 1.2027 (1.2083)  kde_loss: -0.4980 (-0.4979)  ibot_loss: 2.1497 (2.1596)  time: 1.878202  data: 1.033410  max mem: 60051
I20241208 01:06:35 2111763 dinov2 helpers.py:102] Training  [183060/202900]  eta: 10:22:37  lr: 0.0000 (0.0000)  wd: 0.1963 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5635 (12.6096)  dino_local_crops_loss: 9.7001 (9.7397)  dino_global_crops_loss: 1.2026 (1.2082)  kde_loss: -0.4980 (-0.4979)  ibot_loss: 2.1459 (2.1596)  time: 1.864541  data: 1.013939  max mem: 60051
I20241208 01:06:53 2111763 dinov2 helpers.py:102] Training  [183070/202900]  eta: 10:22:19  lr: 0.0000 (0.0000)  wd: 0.1963 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5979 (12.6107)  dino_local_crops_loss: 9.7303 (9.7399)  dino_global_crops_loss: 1.2053 (1.2082)  kde_loss: -0.4978 (-0.4979)  ibot_loss: 2.1629 (2.1604)  time: 1.900686  data: 1.059390  max mem: 60051
I20241208 01:07:12 2111763 dinov2 helpers.py:102] Training  [183080/202900]  eta: 10:22:00  lr: 0.0000 (0.0000)  wd: 0.1963 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6221 (12.6101)  dino_local_crops_loss: 9.7310 (9.7397)  dino_global_crops_loss: 1.2061 (1.2082)  kde_loss: -0.4976 (-0.4978)  ibot_loss: 2.1539 (2.1601)  time: 1.883629  data: 1.046990  max mem: 60051
I20241208 01:07:30 2111763 dinov2 helpers.py:102] Training  [183090/202900]  eta: 10:21:12  lr: 0.0000 (0.0000)  wd: 0.1963 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6231 (12.6109)  dino_local_crops_loss: 9.7440 (9.7402)  dino_global_crops_loss: 1.2072 (1.2083)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1539 (2.1602)  time: 1.847372  data: 1.005093  max mem: 60051
I20241208 01:07:50 2111763 dinov2 helpers.py:102] Training  [183100/202900]  eta: 10:21:11  lr: 0.0000 (0.0000)  wd: 0.1963 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6396 (12.6112)  dino_local_crops_loss: 9.7514 (9.7408)  dino_global_crops_loss: 1.2110 (1.2084)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1661 (2.1599)  time: 1.868626  data: 1.030878  max mem: 60051
I20241208 01:08:09 2111763 dinov2 helpers.py:102] Training  [183110/202900]  eta: 10:21:20  lr: 0.0000 (0.0000)  wd: 0.1963 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5916 (12.6105)  dino_local_crops_loss: 9.7359 (9.7405)  dino_global_crops_loss: 1.2072 (1.2083)  kde_loss: -0.4980 (-0.4978)  ibot_loss: 2.1400 (2.1596)  time: 1.939439  data: 1.102010  max mem: 60051
